#bitsize(pq) p q pq mean
18 397 571 226687 0.006132298801094294
18 397 617 244949 0.006847081403248012
18 401 467 187267 0.005634276405908167
18 401 569 228169 0.006601779407355934
18 409 523 213907 0.009058360604103654
18 409 571 233539 0.009896433597896248
18 419 461 193159 0.005418502388056368
18 421 509 214289 0.005235561996232718
18 421 523 220183 0.008781871409155428
18 421 619 260599 0.006979822786524892
18 431 463 199553 0.008790454582776875
18 431 571 246101 0.01038642559433356
18 433 463 200479 0.006149475800339132
18 433 509 220397 0.0057469377992674705
18 439 479 210281 0.007379794795997441
18 443 521 230803 0.007709458796307444
18 449 487 218663 0.0051772214123047885
18 449 569 255481 0.005697598995175213
18 461 487 224507 0.005472428386565298
18 467 523 244241 0.0060272446135059
18 467 541 252647 0.006581286399159581
18 487 523 254701 0.006844217597972602
18 499 523 260977 0.008773692790418864
19 263 997 262211 0.009429182403255253
19 277 977 270629 0.007157957402523607
19 307 919 282133 0.007020533795002848
19 313 859 268867 0.008282272017095239
19 313 877 274501 0.011656611820217221
19 317 941 298297 0.007254981203004718
19 317 977 309709 0.006811761402059346
19 317 997 316049 0.010652308422140776
19 331 997 330007 0.003569465409964323
19 337 947 319139 0.008009122812654822
19 349 1019 355631 0.0070834523881785575
19 353 773 272869 0.009384527418296785
19 353 857 302521 0.009183394582942128
19 353 983 346999 0.009095621795859187
19 373 821 306233 0.010757491597905755
19 379 701 265679 0.006888402602635324
19 383 929 355807 0.009960329602472484
19 383 1019 390277 0.0060154365957714616
19 397 991 393427 0.0076566370204091076
19 401 673 269873 0.009866727399639785
