#bitsize(pq) p q pq std
18 277 811 224647 0.00039605243971224717
18 277 829 229633 0.00042041627141521225
18 277 919 254563 7.883733340358059e-05
18 281 523 146963 0.015889056563821717
18 281 631 177311 0.01271841834529072
18 281 727 204287 0.00039551614526178047
18 283 691 195553 0.0002140399298599245
18 283 739 209137 0.015875948707389714
18 283 797 225551 1.5218367054733673e-05
18 283 827 234041 0.01285480370050346
18 293 521 152653 0.012723683153837324
18 293 523 153239 0.012878456293934814
18 293 593 173749 0.012975110701310837
18 293 877 256961 0.0003128105992442411
18 307 607 186349 0.00020125593995160584
18 307 653 200471 0.015774476320760532
18 307 839 257573 0.012841128921697281
18 307 853 261871 0.01288809889008826
18 311 433 134663 0.013287617079299733
18 311 439 136529 0.00043581238928198956
18 311 491 152701 0.0003338140887718797
18 311 757 235427 0.0003445795053385788
18 311 811 252221 0.008090989624778786
18 313 659 206267 3.812561721862933e-05
18 313 733 229429 3.661344840675582e-05
18 317 433 137261 0.0004901119967673009
18 317 479 151843 0.0004150434853665746
18 317 547 173399 0.012737487642134176
18 317 683 216511 0.01270320983461828
18 317 727 230459 0.015990507613185996
18 317 769 243773 0.016034024960200396
18 317 811 257087 0.0003988900590191016
18 331 499 165169 0.00654188484121907
18 331 619 204889 0.0066102780393755564
18 331 701 232031 9.40943015975001e-05
18 337 419 141203 0.008015323697605051
18 337 443 149291 0.006525283879936092
18 337 599 201863 0.00039356415334068596
18 337 709 238933 0.00016960267436687696
18 337 733 247021 0.01601050851551983
18 337 773 260501 0.012698385213902583
18 347 419 145393 0.0004305299480393869
18 347 571 198137 0.015897855712970328
18 347 683 237001 0.0002293762326462375
18 349 379 132271 0.012906438901001023
18 359 617 221503 0.012529709268255657
18 359 659 236581 0.012700354475835283
18 367 643 235981 0.0003904478700093521
18 367 683 250661 0.0133580984412226
18 373 389 145097 0.007900902236450095
18 373 683 254759 2.4932770828782932e-05
18 379 389 147431 0.007931241367774145
18 379 397 150463 0.00047448368892885937
18 379 439 166381 0.0004551323091766214
18 383 421 161243 0.00019512164812204787
18 383 457 175031 0.015806166997219078
18 389 521 202669 0.015744238119387393
18 397 571 226687 0.012817726825773137
18 397 617 244949 0.012847331587154289
18 401 467 187267 0.0003692031837095935
18 401 569 228169 0.013189173387733283
18 409 523 213907 0.00041030600499619084
18 409 571 233539 0.012758187423237864
18 419 461 193159 0.006607644128672812
18 421 509 214289 0.00663231714292694
18 421 523 220183 0.01566512420450284
18 421 619 260599 0.00020268757407257778
