#bitsize(pq) p q pq min
17 241 313 75433 0.03200556896626949
17 241 337 81217 0.03208004398038611
17 241 373 89893 0.06429346301592886
17 241 383 92303 0.06444808404194191
17 241 463 111583 0.06495177798205987
17 251 311 78061 0.06434683199040592
17 251 373 93623 0.03200301097240299
17 251 401 100651 0.03215360100148246
17 251 419 105169 0.03203970496542752
17 251 467 117217 0.06418728298740461
17 257 317 81469 0.06419195898342878
17 257 347 89179 0.06493040599161759
17 257 349 89693 0.06450058100745082
17 257 359 92263 0.06467097497079521
17 263 331 87053 0.06446806195890531
17 263 421 110723 0.06434923800406978
17 269 311 83659 0.06413912103744224
17 269 349 93881 0.06430800002999604
17 269 373 100337 0.06525996897835284
17 269 463 124547 0.06428979395423084
17 269 479 128851 0.0644116869661957
17 269 487 131003 0.06518301897449419
17 271 379 102709 0.06489021703600883
17 271 397 107587 0.06441795499995351
17 277 337 93349 0.06422348599880934
17 277 409 113293 0.032026200962718576
17 277 421 116617 0.0642164729651995
17 281 439 123359 0.06422535702586174
17 283 283 80089 0.06418771401513368
17 283 439 124237 0.06419308000477031
17 283 457 129331 0.06440122699132189
17 293 293 85849 0.06432229897473007
17 293 307 89951 0.0641536820330657
17 293 317 92881 0.03202487202361226
17 293 373 109289 0.06435554602649063
17 293 397 116321 0.06421709095593542
17 293 409 119837 0.06436261796625331
17 307 317 97319 0.06421297398628667
17 307 373 114511 0.06538763601565734
17 307 421 129247 0.06454631400993094
17 311 389 120979 0.0652750869630836
17 311 419 130309 0.06432005297392607
17 331 347 114857 0.06409604201326147
17 347 367 127349 0.06424286297988147
18 257 617 158569 0.0643480209982954
18 257 647 166279 0.06412388000171632
18 257 809 207913 0.06462957500480115
18 263 499 131237 0.06538004201138392
18 263 613 161219 0.06421871000202373
18 263 619 162797 0.065267939993646
18 263 631 165953 0.06417260901071131
18 269 821 220849 0.06531795999035239
18 269 967 260123 0.06435459200292826
18 271 601 162871 0.0644443630008027
18 271 661 179131 0.06525551300728694
18 271 829 224659 0.06416523904772475
18 271 857 232247 0.0647832439863123
18 271 859 232789 0.06419924995861948
18 277 547 151519 0.0644163410179317
18 277 599 165923 0.03203486499842256
18 277 643 178111 0.06438817700836807
18 277 719 199163 0.06424004799919203
18 277 761 210797 0.06527056900085881
18 277 787 217999 0.06513060198631138
18 277 811 224647 0.06436470797052607
18 277 829 229633 0.06436174298869446
18 277 919 254563 0.0643145379726775
18 281 523 146963 0.06533672200748697
